epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.008,1.30067,1.25609,1.19082,0.9975,0.99947,0.99479,0.62608,1.26388,0.6723,1.3678,0.00333,0.00333,0.00333
2,221.325,1.29597,0.63706,1.17591,0.999,0.99926,0.99498,0.69529,1.10165,0.45934,1.25218,0.00659737,0.00659737,0.00659737
3,325.526,1.31119,0.5844,1.18414,0.999,0.99982,0.995,0.70083,1.10618,0.45684,1.25473,0.00979874,0.00979874,0.00979874
4,428.909,1.29469,0.54762,1.17186,0.99936,1,0.995,0.71502,1.07964,0.42769,1.22311,0.009703,0.009703,0.009703
5,532.835,1.27397,0.52391,1.16219,0.99887,1,0.995,0.71249,1.07273,0.41818,1.20758,0.009604,0.009604,0.009604
6,635.924,1.26567,0.50494,1.15619,0.998,0.99993,0.995,0.71025,1.09184,0.40875,1.21767,0.009505,0.009505,0.009505
7,739.661,1.25803,0.49378,1.14734,0.99881,1,0.995,0.72701,1.06055,0.40101,1.19661,0.009406,0.009406,0.009406
8,840.754,1.2486,0.48293,1.14019,1,0.0005,0.50025,0.25012,1.9019,6.03477,1.4763,0.009307,0.009307,0.009307
9,944.971,1.43519,1.47177,1.69659,0.5196,0.6735,0.61422,0.14995,2.58982,15.265,7.17896,0.009208,0.009208,0.009208
10,1047.95,4.19505,12.3789,59.451,0.00897,0.0215,0.0066,0.00119,4.10594,12.8956,87.0303,0.009109,0.009109,0.009109
11,1151.56,4.32661,14.2668,64.9392,0.00896,0.022,0.0066,0.00118,4.10665,12.1238,85.7966,0.00901,0.00901,0.00901
12,1254.44,4.31604,13.4857,63.8611,0.00929,0.0215,0.00656,0.00118,4.10864,11.476,85.1781,0.008911,0.008911,0.008911
13,1357.97,4.33183,12.7085,62.1385,0.01115,0.0165,0.00658,0.00118,4.1079,10.7203,83.3037,0.008812,0.008812,0.008812
14,1461.06,4.30982,11.9761,61.6237,0.00885,0.0225,0.00659,0.00118,4.10495,10.0114,80.9062,0.008713,0.008713,0.008713
15,1564,4.32003,11.3784,60.4105,0.00922,0.0225,0.00659,0.00118,4.10426,9.65051,80.3684,0.008614,0.008614,0.008614
16,1666.94,4.32269,10.7854,59.1178,0.01089,0.0165,0.00659,0.00118,4.10441,9.10146,78.9895,0.008515,0.008515,0.008515
17,3134.22,4.32164,10.2814,58.7962,0.01061,0.016,0.00661,0.00119,4.10307,8.60576,77.4477,0.008416,0.008416,0.008416
